# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.4

acopper.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
adcopper.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
addiamond.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
ademerald.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
adgold.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
adiamond.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
adiron.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
adlapis.name, string, 8013C2A7385BC2A765417474697661746FC2A7385D
admin::maintenance, boolean, 00
admin::maintenance::reason, string, 8011536572766572446576656C6F706D656E74
adredstone.name, string, 8013C2A7385BC2A765417474697661746FC2A7385D
aemerald.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
afk::0, boolean, 00
afk::0::info, boolean, 00
afk::<none>, boolean, 00
afk::<none>::info, boolean, 00
afk::<player>, boolean, 00
afk::<player>::info, boolean, 00
afk::<player>::status, string, 8005C2A7634E6F
afk::_eryka_, boolean, 00
afk::_eryka_::info, boolean, 00
afk::_xedo_, boolean, 00
afk::_xedo_::info, boolean, 00
afk::_xedo_::status, string, 8005C2A7634E6F
afk::andr3wontilt, boolean, 00
afk::andr3wontilt::info, boolean, 00
afk::andr3wontilt::status, string, 8005C2A7634E6F
afk::eryka00, boolean, 00
afk::eryka00::info, boolean, 00
afk::n/a, boolean, 00
afk::n/a::info, boolean, 00
afk::nd, boolean, 00
afk::nd::info, boolean, 00
afk::xedoit, boolean, 00
afk::xedoit::info, boolean, 00
afk::xedoit::status, string, 8006C2A76153C3AC
agold.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
airon.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
alapis.name, string, 8013C2A7385BC2A765417474697661746FC2A7385D
anether.name, string, 8013C2A7385BC2A765417474697661746FC2A7385D
aredstone.name, string, 8013C2A7385BC2A765417474697661746FC2A7385D
autocopper.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autocount._xedo_, long, 0000000000000001
autodebris.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autodeepslatecopper.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autodeepslatediamond.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autodeepslateemerald.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autodeepslategold.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autodeepslateiron.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autodiamond.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autoemerald.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autogold.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autoiron.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
autokick, boolean, 01
autokick.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
axr.alert, boolean, 01
axr.count, boolean, 01
blocks::<player>::end, long, 0000000000000000
blocks::<player>::nether, long, 0000000000000000
blocks::<player>::overworld, long, 0000000000000000
blocksbuild::<player>, long, 0000000000000000
blocksbuild::<player>::acacia_door, long, 0000000000000000
blocksbuild::<player>::acacia_fence, long, 0000000000000000
blocksbuild::<player>::acacia_fence_gate, long, 0000000000000000
blocksbuild::<player>::acacia_log, long, 0000000000000000
blocksbuild::<player>::acacia_planks, long, 0000000000000000
blocksbuild::<player>::acacia_slab, long, 0000000000000000
blocksbuild::<player>::acacia_stairs, long, 0000000000000000
blocksbuild::<player>::acacia_trapdoor, long, 0000000000000000
blocksbuild::<player>::andesite, long, 0000000000000000
blocksbuild::<player>::andesite_slab, long, 0000000000000000
blocksbuild::<player>::andesite_stairs, long, 0000000000000000
blocksbuild::<player>::andesite_wall, long, 0000000000000000
blocksbuild::<player>::basalt, long, 0000000000000000
blocksbuild::<player>::birch_door, long, 0000000000000000
blocksbuild::<player>::birch_fence, long, 0000000000000000
blocksbuild::<player>::birch_fence_gate, long, 0000000000000000
blocksbuild::<player>::birch_log, long, 0000000000000000
blocksbuild::<player>::birch_planks, long, 0000000000000000
blocksbuild::<player>::birch_slab, long, 0000000000000000
blocksbuild::<player>::birch_stairs, long, 0000000000000000
blocksbuild::<player>::birch_trapdoor, long, 0000000000000000
blocksbuild::<player>::blackstone, long, 0000000000000000
blocksbuild::<player>::blackstone_slab, long, 0000000000000000
blocksbuild::<player>::blackstone_stairs, long, 0000000000000000
blocksbuild::<player>::blackstone_wall, long, 0000000000000000
blocksbuild::<player>::brick, long, 0000000000000000
blocksbuild::<player>::brick_slab, long, 0000000000000000
blocksbuild::<player>::brick_stairs, long, 0000000000000000
blocksbuild::<player>::brick_wall, long, 0000000000000000
blocksbuild::<player>::bricks, long, 0000000000000000
blocksbuild::<player>::broke, long, 0000000000000000
blocksbuild::<player>::broke::acacia_door, long, 0000000000000000
blocksbuild::<player>::broke::acacia_fence, long, 0000000000000000
blocksbuild::<player>::broke::acacia_fence_gate, long, 0000000000000000
blocksbuild::<player>::broke::acacia_log, long, 0000000000000000
blocksbuild::<player>::broke::acacia_planks, long, 0000000000000000
blocksbuild::<player>::broke::acacia_slab, long, 0000000000000000
blocksbuild::<player>::broke::acacia_stairs, long, 0000000000000000
blocksbuild::<player>::broke::acacia_trapdoor, long, 0000000000000000
blocksbuild::<player>::broke::andesite, long, 0000000000000000
blocksbuild::<player>::broke::andesite_slab, long, 0000000000000000
blocksbuild::<player>::broke::andesite_stairs, long, 0000000000000000
blocksbuild::<player>::broke::andesite_wall, long, 0000000000000000
blocksbuild::<player>::broke::basalt, long, 0000000000000000
blocksbuild::<player>::broke::birch_door, long, 0000000000000000
